方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
大黄丸,大黄（炮，锉）半两，桔梗（炒）1分，枳壳（麸炒，去瓤）1分，芎1分，羌活（去芦头）1分，木香1分，柴胡（去苗）1分，独活（去芦头）1分，牵牛子1两（半炒熟，半生用）。,小儿久喘咳嗽属虫者。,,2021/5/19,2021/5/19 15:00,
大黄丸,五味子（炒）1两，(庶虫)虫（熬）1两，芎1两，肉苁蓉（酒浸，切，焙）1两，麦门冬（去心，焙）1两，续断1两，石斛（去根）1两，甘草（炙，锉）1两，吴茱萸（汤洗，焙，炒）1两，商陆根（切）1两，芒消1两，细辛（去苗叶）1两，厚朴（去粗皮，生姜汁炙，锉）1两，乌头（炮裂，去皮脐）1两1分，生干地黄（焙）1两1分，大黄2两半，附子（炮裂，去皮脐）1分。,大肠秘热，心胸烦躁，头痛便难，腹胁胀满，口舌干燥。,,2021/5/19,2021/5/19 15:00,
大黄丸,川大黄3分（锉碎，微炒），知母半两，牡苈半两（烧，为粉），当归半两（锉，微炒），枳壳半两（麸炒微黄，去瓤），鳖甲1两（涂醋，炙令黄，去裙襕）。,男女恶风湿痹，周身不仁，小腹拘急，绕脐(疒丂)痛，头目昏眩，时吐涎沫，咳嗽背强，难以俯仰；心下懊憹，面目脱色，喉咽不利，耳聋恶寒，饮食失味，膀胱忽满，大小便不利，两胫痠痛，手足厥逆，吸吸短气；时复失精，白汗自出，梦寐不安，心神恍惚，肌肤瘾疹。,,2021/5/19,2021/5/19 15:00,
大黄丸,川大黄3分（锉碎，微炒），鳖甲3分（涂醋，炙令黄，去裙襕），赤芍药3分，大麻仁3分（研入），白术1分，防葵1分，神曲1分（微炒），木香1分。,小儿癥瘕，腹痛黄瘦。,,2021/5/19,2021/5/19 15:00,
大效至圣千金饮子,绵黄耆（蜜炙）、甘草、陈皮、罂粟壳（炙）、木香、白芍药、地榆、川当归、枳壳（制，炒）、黑豆（炒）、乌梅、淮枣、白术、诃子（炮，去核）、黄连各等分。,小儿癖气不消，四肢黄瘦，时有腹痛。,,2021/5/19,2021/5/19 15:00,
大顺饮,细面20两，生姜16两，赤茯苓（去皮）5两，粉草5两。,小儿脾积虚痢，便下五色，先由呕吐，后作泄泻，脐腹(疒丂)痛，胁肋胀满；受湿虚鸣，脓血相杂，下如豆汁，亦如瘀血，日夜无度，食少肌羸。,,2021/5/19,2021/5/19 15:00,
大顺散,甘草（锉寸长）30斤，干姜4斤，杏仁（去皮尖，炒）4斤，肉桂（去粗皮，炙）4斤。,冒暑毒，烦渴吐泻，腹痛，发热，神昏；或衄血、咯血，及大腑下血，小便黄少，口干汗多。,,2021/5/19,2021/5/19 15:00,
大射干汤,射干1钱，当归1钱，麻黄1钱，肉桂3分，桑皮1钱，枳壳6分，紫菀6分，独活6分，杏仁6分，半夏1钱2分，甘草5分。,冒暑伏热，引饮过多，脾胃受湿，水谷不分，清浊相干，阴阳气逆，霍乱呕吐；脏腑冷热不调，泄泻多渴，心腹烦闷，痢下赤白，腹痛后重；中阴暑，食少体倦，发热作渴，腹痛吐泻，脉沉微者。,温中散暑。,2021/5/19,2021/5/19 15:00,
大效人参枳实汤,枳实4个（米泔浸，去瓤，切，麸炒），桑白皮半两，半夏半两（汤洗7-8次，切，仍以姜汁浸），甘草半两（炙），白茯苓半两，款冬花半两，五味子半两，阿胶半两（麸炒），细辛半两，人参1分，麻黄半两（去节），苦梗半两。,暴寒，热伏于内，咳嗽呕吐。,,2021/5/19,2021/5/19 15:00,
大顺汤,蒺藜4钱，郁金2钱，乌药1钱，木香5分，广皮1钱，厚朴1钱，枳壳1钱，青皮1钱，茯苓2钱，白术1钱，橘饼4钱，煨姜3片。,婴孩小儿伤寒后，气不和顺，喘急咳嗽，胸膈郁塞，日夜烦闷，神困力乏，不思饮食；虚痰烦满，头目昏晕；伤风感冷咳嗽之证。,泻肺补气，宽膈化痰，滋润五脏，和益三焦，理嗽调中。,2021/5/19,2021/5/19 15:00,
大顺饮,缩砂、草豆蔻、厚朴、青皮。,肝郁下利，胁痛腹痛，噫气食少。,,2021/5/19,2021/5/19 15:00,
大顺饮,草豆蔻、炮姜、熟附子、广皮、白茯苓、炙甘草、熟半夏。,因热伤冷，误服寒凉，中焦凝滞，六脉沉迟，或沉大，呃逆腹痛，肠鸣下利。,辛散疏利。,2021/5/19,2021/5/19 15:00,
大岩蜜汤,干地黄1两，当归1两，独活1两，甘草（炙）1两，芍药1两，桂心1两，小草1两，细辛1两，吴茱萸1升，干姜3两。,内伤中风，口噤不语，脉沉而迟。,,2021/5/19,2021/5/19 15:00,
大青散,大青1两，蓝叶3分，川升麻3分，秦艽1两（去苗），栝楼根1两，川芒消1两半，茵陈3分，栀子仁半两，甘草半两（炙微赤，锉）。,产后心痛。产后阳气虚寒，心腹作痛，不食呕吐，四肢厥逆。,,2021/5/19,2021/5/19 15:00,
大茴香汤,白术、枳实、延胡索、青木香、肉桂、橘核、香附、吴茱萸、大茴香、生姜。,时气6日，头痛壮热，心神烦乱，积热不散，或狂走不定。,,2021/5/19,2021/5/19 15:00,
大祛风丹,犀角（镑屑）3钱，羚羊角（镑屑）3钱，牛黄（真者，别研）3钱，鹿速脑（别研）3钱，玳瑁（镑屑）3钱，真珠2钱（盐汤洗净，别研），全蝎（新者，只用梢尾）半两，白花蛇（真蕲州者，酒浸，取净肉）半两，防风（去芦）半两，石膏1两（切开，用方白石者），天南星（用大块白者8两，入生姜2斤切片，慢火煮令姜不辣，焙干）2两。,积气。小儿骤然腹痛，面色 (白光)白，脉来沉细。,,2021/5/19,2021/5/19 15:00,
大岩蜜汤,茯苓1两，芎1两，当归1两，甘草1两（炙），桂心2两半，栀子14枚（擘），吴茱萸3两，细辛2两，干姜2两，干地黄2两。,中风。,,2021/5/19,2021/5/19 15:00,
大枳壳丸,枳壳（麸炒，去瓤）1两，茯苓（去皮）1两，白术1两，厚朴（去粗皮，生姜制）1两，半夏（汤洗7次）1两，人参（去芦头）1两，木香1两，青橘皮1两，陈橘皮（2味各汤浸，去瓤，焙干，称）1两，京三棱1两，蓬莪术（2味煨香熟）1两，槟榔1两，神曲（炒黄）1两，麦糵（微炒）1两，干生姜半两，牵牛（拣净，微炒）2两，大黄（锦纹者）2两。,中风，身如角弓反张；并主卒心腹绞痛。,,2021/5/19,2021/5/19 15:00,
大和散,熟干地黄（洗）、当归（洗，焙）、人参（去芦头）、地骨皮、赤芍药、甘草（炙）各等分。,一切酒食所伤，胸膈痞闷，胁肋胀满，心腹疼痛，饮食不消，痰逆呕吐，噫醋吞酸，饮食迟化。,,2021/5/19,2021/5/19 15:00,
大省风汤,附子1两，吴术1两，肉果（1方使丁香）半两，天南星半两，防风半两，藿香1分。,小儿疮疱，及伤寒时气，病后余邪不解，翕翕发热，潮热往来，嗜卧，烦躁闷乱。,,2021/5/19,2021/5/19 15:00,
大保安汤,白术1钱，当归1钱，人参1钱，茯苓1钱，川芎1钱，白芍1钱，山茱萸1钱，黄耆1钱，山药1钱，丹皮1钱，熟地1钱，五味子1钱，肉桂5分，甘草5分，麦门冬5分，熟附子5分，煨姜3片，大枣2枚，莲肉7粒。,中风，天阴雨作痛。,,2021/5/19,2021/5/19 15:00,
大连翘饮,连翘、粘子、桔梗、知母、花粉、甘草、生地、玄参、山楂、丹皮。,脑项诸发、痈疽、恶疮、大毒己溃之后，脓水出多，气血虚弱，精神短少，饮食少思，坐卧不宁，烦躁不眠，昼则安静，夜则发热，及虚阳烦渴。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,阿胶（锉碎，炒）1两，卷柏（去土）1两，生地黄1两，大蓟（独根者，日干）1两，干山药1两，五味子1两，薄荷1两，柏子仁半两，人参半两，远志半两，百部半两，麦门冬半两，茯苓（去皮）半两，防风半两，熟地黄1两。,麻疹余毒未尽透，热退3-5日后又复发热。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,当归半两，阿胶（炒）半两，豆蔻（煨）半两，龙骨半两，赤石脂半两，大艾半两，黄连半两，木香，乳香（别研）5钱，白矾（枯）1分。,咳嗽，并嗽血、唾血。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,葶苈2两（炒），人参（去芦）1两，远志（去心）1两，防风1两，白茯苓（去皮）1两，防已1两，贝母（炒）1两，阿胶（炒）1两，五味子1两，熟地黄（洗）1两，杏仁（汤去皮尖）1两，山药1两，丹参半两，麦门冬半两，杜仲（去皮，锉，炒令黑）半两，柏子仁半两，甘草半两，百部半两。,发热下痢，腹痛至甚，肛门痛欲绝者。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,白花蛇（酒浸，取肉）4两，乌蛇（酒浸，取肉）3两，虎胫骨（酥炙）3两，海桐皮3两，赤箭3两，麻黄（去根节）2两半，蝉蜕（去土）2两半，天南星（酒浸1宿）2两半，木香2两半，白僵蚕（炒，去丝嘴）2两半，半夏（汤洗，生姜汁制）2两半，附子（炮，去皮脐尖）2两半，白术2两半，全蝎（去毒，糯米炒）2两，香白芷2两，川芎2两，防风（去芦头）2两，独活（去芦头）2两，羌活（去芦头）2两，当归（酒洗，焙）2两，白鲜皮2两，白附子（炮）2两，阿胶（蛤粉炒）1两半，没药（别研）1两半，肉桂（去粗皮）1两半，细辛（去土叶）1两半，人参（去芦头）1两半，犀角屑1两半，朱砂（别研）1两半，麝香（别研）1两半。,肺有热，或因劳叫怒，肺胃致伤，嗽中有血。积年咳嗽上气，五心烦躁，不思饮食，心肺留热。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,麦门冬（去心）半两，丹参半两，贝母（炒）半两，防风（去芦叉头）半两，柏子仁半两，茯神（去木）半两，杜仲（去粗皮，炒）半两，百部根半两，干山药1两，阿胶（炒）1两，茯苓（去皮）1两，熟干地黄1两，五味子1两，远志（去心）1分，人参1分。,中风，半身不遂，口眼斜；并产后中风，及风气注痛，游走不定。,,2021/5/19,2021/5/19 15:00,
大阿胶丸,阿胶（炒）1两，熟地黄1两，白茯苓1两，五味子1两，山药1两，贝母半两，百部半两，柏子仁半两，破故纸半两，桂心半两，杜仲（姜汁炒）半两，麦门冬（焙干）半两，人参3钱，沉香3钱。,肺虚客热，咳嗽气急，胸中烦悸，肢体倦痛，咽干口燥，渴欲饮冷，多吐涎沫，或有鲜血，肌瘦发热，减食嗜卧；又治或因叫怒，或即房劳，肺胃致伤，吐血呕血。,补肺去风。,2021/5/19,2021/5/19 15:00,
大阿胶汤,当归1钱半，芍药1钱半，地黄1钱，阿胶3钱，艾叶3钱，干姜炭1钱半，川芎1钱半，甘草5分。,肺病兼肾症，咳嗽久不止，吐痰涎水。,,2021/5/19,2021/5/19 15:00,
大豆紫汤,大豆1升（熬令焦），好酒2升。,胎动不安，腰腹痛。,,2021/5/19,2021/5/19 15:00,
大连翘汤,连翘1钱，瞿麦1钱，荆芥1钱，木通1钱，当归1钱，防风1钱，赤芍药1钱，柴胡1钱，滑石1钱，蝉蜕1钱，甘草（炙）1钱，山栀仁5分，黄芩5分。,中风失音；腰痛拘急；妇人五色带下；产后中风，或产后恶露未尽，感风身痛。妇人产后中风困笃，或背强口噤，或但烦热苦渴，或头身皆重，或身痒，剧者呕逆直视，此皆为风冷湿所为。产后百病及中风痱痉；妊娠伤折，胎死在腹中3日；妇人五色带下。产后恶露未尽，又兼有风，身中急痛。腰卒痛拘急，不得喘息，若醉饱得之欲死者。,去风，消血结。,2021/5/19,2021/5/19 15:00,
大连翘饮,连翘1两，瞿麦1两，滑石1两，车前子1两，牛蒡子1两，赤芍1两，山栀子半两，木通半两，当归半两，防风半两，黄芩1两半，柴胡2两，甘草1两半，荆芥穗1两半，蝉蜕2钱半。,疮疹发热，焮痛作痒，丹毒脐风，小便不通。小儿积热，大小便不利，及痘后余毒不解，肢体患疮或丹瘤，游走不止。,,2021/5/19,2021/5/19 15:00,
大连翘饮,连翘4分，瞿麦4分，滑石4分，车前子4分，牛蒡子4分，赤芍4分，栀子4分，木通4分，当归4分，防风4分，柴胡1钱2分，黄芩1钱2分，荆芥1钱2分，蝉蜕5分，甘草1钱6分。,小儿伤寒，伤风发热，时行发热，痰盛壅，风热丹毒，疮疹，项上生核，腮赤，痈疖，一切发热。,,2021/5/19,2021/5/19 15:00,
大豆饮,大豆1升（紧小者）。,小儿伤风感冒，发热痰壅，风热丹毒肿痛，颈项有核，腮赤痈疖，眼目赤肿，口舌生疮，咽喉疼痛，小便淋沥，胎毒，痘疹余毒，一切热毒；三焦积热，二便不利，重舌、木舌，咽痛疮疡。,,2021/5/19,2021/5/19 15:00,
大豆饮,鸡屎白1升，大豆5升。,中风，惊悸恍惚。,,2021/5/19,2021/5/19 15:00,
大豆卷散,黑豆（水浸生芽，取出晒干）、贯众、板蓝根、炙甘草各等分。,因疮中风。腰脊反张，牙关口噤，四肢强直，耳聋。,,2021/5/19,2021/5/19 15:00,
大豆浸酒,黑豆1升（拣紧小者净淘）、酒5升。,误服热药而发热者。,,2021/5/19,2021/5/19 15:00,
大豆酒,大豆5升（熬令黄黑）。,中风，手足不遂。,,2021/5/19,2021/5/19 15:00,
大圣丸,御米壳（蜜浴，炒）2两，甘草（炒），芍药半两，川芎半两。,中风口噤口，身体强直，角弓反张；风湿顽痹：头风；妇人产后中风诸病。卒中风，口噤不开。卒中风，口歪；头破脑出，中风口噤。阴证急伤寒。头风；伤风湿，身体痹。阴毒腹痛，小便尿血，妇人产后一切中风诸病。,,2021/5/19,2021/5/19 15:00,
大秦艽汤,秦艽3两，甘草2两，川芎2两，当归2两，白芍药2两，细辛半两，川羌活1两，防风1两，黄芩1两，石膏2两，吴白芷1两，白术1两，生地黄1两，熟地黄1两，白茯苓1两，川独活2两。,腹痛泄痢不可忍者。,,2021/5/19,2021/5/19 15:00,
大秦艽散,条参（去芦）、川羌活（去芦）、枳壳（去瓤）、秦艽（去芦）、赤芍药、苦梗（去芦）、前胡（去芦）、川芎、白芷、黄芩、薄荷、桑白皮（去赤）、天麻、防己、防风、粉草、荆芥穗、赤茯苓，木瓜，川牛膝（去苗）各等分。,血弱不能养筋，风邪初中经络，手足不能运动，舌强不能言语；或半身不遂，口眼歪斜。中风，外无六经之形证，内无便溺之阻格，知血弱不能养筋，故手足不能运动，舌强不能言语。阴虚不能养筋，筋燥而手足不能运动，指爪干燥，属风热甚者。歪斜偏废。,养血荣筋。,2021/5/19,2021/5/19 15:00,
大效香砂丸,巴豆（生，出油，去皮）、生珠、乳香、细辛、当归（去苗）各等分，丁香少许，官桂少许（去皮），龙脑50文，麝香50文，槟榔少许。,中风，风痰壅盛，四体重著，或软痪疼痛，或拘挛，麻痹颤掉，口干目赤，烦热，睡卧不宁。,,2021/5/19,2021/5/19 15:00,
大效润肺杏仁散,紫菀1两半（去泥），半夏1两（煮），五味子1两，杏仁2两（汤浸，去皮尖，泡7次），罂粟壳半两（炙），紫苏叶1两。,头风眩晕，头面多汗，恶风，甚则头痛心烦闷，脉寸口洪大而长。,,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡半斤，黄芩3两，芍药3两，半夏半升（洗），生姜5两（切），枳实4枚（炙），大枣12枚（擘）。,咳嗽，上气喘急，唾血，咯血。,,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡2两（去苗），枳壳半两（麸炒微黄），黄芩2两，赤芍药1两，半夏1两（汤洗7次）。,少阳、阳明合病。往来寒热，胸胁苦满，呕不止，郁郁微烦，脘腹痞硬或满痛。大便不解或协热下利，舌苔黄，脉弦有力。现用于急性胰腺炎、急性胆囊炎、胆石症见上述证候者。太阳病，过经10余日，反二三下之，后4-5日，柴胡证仍在者，先与小柴胡汤，呕不止，心下急，郁郁微烦者；伤寒10余日，热结在里，复往来寒热者；伤寒发热，汗出不解，心中痞硬，呕吐而下利者。按之心下满痛者。若有热实，得汗不解，腹满痛烦躁，欲谬语者。疟，寒热呕逆，脉弦小紧，间日频日，发作无时；及伤寒热在里，腹满谵语，烦渴，大小便涩。伤寒10余日，邪气结在里，寒热往来，大便秘涩，腹满胀痛，语言谵妄，心中痞硬，饮食不下，或不大便5-6日，绕脐刺痛，时发烦躁；及汗后如疟，日晚发热，兼脏腑实，脉有力者。下痢舌黄口燥，胸满作渴，身热腹胀，谵语，有燥屎。伤寒、杂证，发热，脉沉实弦数，热日数多，或有表复有里，脉洪，头痛而谵妄，或湿热自利，表里证己急。风热痰嗽，腹胀及里证未解。地道不通，因而呃逆，及火郁为患者；心脾胃脘积热，壅滞作痛而便闭者。夹食伤寒，其证壮热头痛，暖气腹胀，大便酸臭，延绵不解。急性胆道感染，胆石病并发感染；胰腺炎，溃疡病穿孔第二期。急性阑尾炎，急性胰腺炎。,发表攻里，和解少阳，通下里实。,2021/5/19,2021/5/19 15:00,
大桃花汤,赤石脂3两，干姜3两，当归3两，龙骨3两，牡蛎3两，附子2两，白术1升，甘草1两，芍药1两，人参1两半。,阳明病，外证身热汗出，不恶寒，但恶热；阳明病，脉迟，发热头眩，小便难，欲作谷疸；阳明病，胁下坚满，大便秘而呕，口燥者；阳明病中风，其脉浮大，短气心痛，鼻干，嗜卧，不得汗，一身悉黄，小便难，有潮热而哕，耳前后肿，刺之虽小愈，外未解者；少阳病，口苦干燥，目眩者；少阳中风，两耳无所闻，目赤，胸中满而烦者；少阴病，汗则谵语者；少阴病，恶寒而踡，时时自烦，不欲厚衣者；少阴病，下利清水，色青，心下痛，口干燥者；厥阴病，阳脉涩，阴脉弦，当腹中急痛，先与小建中汤，不瘥者；厥阴下之，胸满烦惊，小便不利，谵语，一身不可转侧者。,,2021/5/19,2021/5/19 15:00,
大效紫菀丸,紫菀2两，人参2两，巴豆（醋煮，去心膜，研）1两，肉苁蓉1两，吴茱萸1两，菖蒲1两，干姜1两，白槟榔1两，当归1两，防风1两，茯神1两，桔梗1两，车前子1两，川椒1两，乌头（炮，去皮脐）1两，猪牙皂角（去皮子，涂酥炙）1两，白术1两1分，汉防己1两1分，柴胡1两1分，羌活1两1分，麦门冬1两1分，甘草1两1分，黄连1两半，厚朴1两半，干地黄1两半，茯苓1两半，大黄1两半，肉豆蔻3分。,冷白滞痢，腹痛；下痢久脱虚冷。,,2021/5/19,2021/5/19 15:00,
大建中汤,人参、桂心、归身、川椒、茯苓、炙草、白芍、饴糖、南枣。,积聚癖块，大如拳掌，亦如杯碗；及黄疸病，朝起呕吐，上攻心膈，两肋分痛胀，彻连甲脊，痛无休息，时常绕脐；九种心痛，五淋、五痔；胃口闭塞，吐逆，饮食积年不消；妇人断续多年；诸风，身体顽麻，不知痒痛，半面浮疼，眼目冷泪，遍身如锥刀所刺，眉毛坠落，面上生疮，游如虫行，莫知所有，或手足烦热，或夜卧不安；小儿72种风，及25种惊痫；夜梦鬼交，四肢无力沉重，饮食无味，昏昏似醉，只欲求死，真如鬼魅，终日忧烦不乐，悲啼歌哭；月候不调，或多或少，时似有孕，连年羸瘦，在床渐困。,,2021/5/19,2021/5/19 15:00,
大料神秘左经汤,麻黄（去节）、干葛、细辛、厚朴（姜制，炒）、茯苓、防己、枳壳（麸炒，去瓤）、桂心、羌活、防风（去叉）、柴胡、黄芩、小草（即远志苗）、白姜（炮）、半夏（汤洗去滑）、甘草、麦门冬（去心）各等分。,劳伤阳气，不肯复元，清阳凋丧，闪气疼痛，脘中痞结，经和补调理，右脉濡，来去涩者。虚劳腹痛。,,2021/5/19,2021/5/19 15:00,
大柴胡加玄参地黄汤,柴胡3钱，黄芩2钱，半夏3钱，芍药1钱，枳实1钱，大黄2钱，生姜2钱，大枣2枚，玄参2钱，生地3钱。,风寒暑湿流注足三阳经，手足拘挛疼痛，行步艰难，憎寒发热，自汗恶风，头眩腰重，关节掣痛；或卒中昏塞，大小便秘涩；或腹痛，呕吐下利，恶闻食臭，髀腿顽痹，缓纵不随，热闷惊悸，心烦气上，脐下冷痹，喘满肩息。,下气，消痰，散风湿，退肿，进饮食，令人不虚。,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡2两，半夏3分，黄芩3分，甘草3分，枳实半两，大黄1两。,少阳疹病，半入阳明胃腑，呕吐泄利。,,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡3两，黄芩3两，芍药3两，甘草（炙）3两，半夏2两半（汤洗7次），大黄2两，枳实1两（麸炒，去瓤）。,伤寒十余日，热结在里，往来寒热；或心下急，郁郁微烦；或口生白苔，大便不通；或发热汗出；或腹中满痛；或日晡发热如疟；或6-7日目中不了了，睛不和，无表里证，大便难，身微热者。,,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡2两（去苗），黄芩1两，赤芍药1两，半夏（汤洗7遍去滑）1两，枳实（麸炒令黄）1两，槟榔1两，白术1两，赤茯苓1两。,头痛。痰嗽，腹胀，及里证未解。,疏利风热。,2021/5/19,2021/5/19 15:00,
大效双丸,甘遂半两（煨令微黄），巴豆霜半两，麦门冬半两（去心，焙），牡蛎1分（烧为粉），蕤仁1分（汤浸，去皮，研入），真珠末1分。,伤寒2-3日，心中悸，呕吐不止，心急郁郁微烦者，尚未解。,,2021/5/19,2021/5/19 15:00,
大柴胡汤,柴胡、白芍、枳壳、黄芩、大黄。,小儿百病，身热头痛，饮食不消，心腹胀满；或心腹(疒丂)痛，大小便不利；或重下数起；或别无异疾，惟饮食过度，不知自止，哺乳失覆；或惊寒热；或蒸候，哺食减少，气息不快，夜啼不眠，是腹内不调。,,2021/5/19,2021/5/19 15:00,
大建中汤,黄耆（去芦）1两，附子（炮，去皮脐）1两，鹿茸（酒蒸）1两，地骨皮（去木）1两，续断1两，石斛（去根）1两，人参1两，川芎1两，当归（去芦，酒浸）1两，白芍药1两，小草1两，甘草（炙）半两。,痘疮，腰疼腹痛，寒热往来，热毒欲发不出者。痘疮寒热，大便秘者。,,2021/5/19,2021/5/19 15:00,
大承气加芍药地黄汤,大黄8钱（生），芒消3钱，厚朴4钱，枳实4钱，芍药3钱，生地8钱。,诸虚不足，小腹急痛，胁肋胀，骨肉痠痛，短气喘咄，痰多咳嗽，潮热多汗，心下惊悸，腰背强痛，多卧少气。,,2021/5/19,2021/5/19 15:00,
大黄附子汤,大黄3两，附子3枚（炮），细辛2两。,温疫，阳明腑证，潮热汗出，谵语，腹痛便秘者。,,2021/5/19,2021/5/19 15:00,
千金射干汤,射干半两，麻黄半两，紫菀半两，甘草半两，生姜半两，细辛半两，阿胶半两，半夏5个，桂心5寸，大枣20个。,阳虚寒结，腹痛便秘，胁下偏痛，发热，手足厥冷，舌苔白腻，脉紧弦。现用于肋间神经痛，坐骨神经痛、肾结石、胆结石、慢性阑尾炎、胰腺炎、腹股疝等见上述证候者。色疸者，身黄，额上微汗，小便利，大便黑，此因房事过伤，血蓄小腹而发黄，故小腹连腰下痛。此方实能治偏痛，然不特偏痛而已，亦治寒疝、胸腹绞痛延及心胸腰部、阴囊焮肿、腹中时有水声、恶寒甚者。,温阳散寒，通便止痛。,2021/5/19,2021/5/19 15:00,
千金肥儿丸,白术半斤，真茅山苍术半斤，陈皮1斤（不去白），甘草1斤（炙，为末用，留1半为衣），厚朴1斤（用干姜半斤，水拌令润透，同炒干，去姜不用），癞蛤蟆10只（蒸熟，焙干为末），禹余粮（煅）1斤（如无，以蛇含石代），川黄连1斤（用苦参4两，好烧酒1斤，2味拌合1时，焙干去参），神曲1斤（炒），牡蛎（煅7次，童便淬7次，净）1斤，青蒿1斤（童便制为末），山楂（去核）1斤，鳖甲（醋炙）1斤，胡黄连半斤，芦荟4两，夜明砂（淘净）4两，使君子（去壳，净肉）4两，鹤虱不拘多少。,小儿咳嗽，喘息如水鸡声。,,2021/5/19,2021/5/19 15:00,
大附丸,大附子（炮，去皮脐）1枚。,小儿疳证，肚大筋青，潮热咳嗽，胸前骨露。,调脾胃，养血气，消积杀虫，散疳热。,2021/5/19,2021/5/19 15:00,
大黄汤,大黄（锉，炒）1两，白术1两，厚朴（去粗皮，生姜汁炙，锉）1两，大腹皮（锉）1两，木香半两，桂（去粗皮）半两，朴消（研）半两，牵牛子（炒）半两。,元气虚壅上攻，偏正头痛不可忍者。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄1两。,伤寒食毒，心腹胀满，时复呕吐，憎寒，不下食，大小便秘涩。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄（锉，炒）1钱半，甘草（炙，锉）1分，桑根白皮（炙，锉）3分，葱白（并根）3茎。,痢疾，脓血稠粘，里急后重，腹痛，一脉实。泄痢久不愈，脓血稠粘，里急后重，日夜无度，久不愈者。便血，身热，脉胜。痢初作及久不愈，或脉实。休息痢。湿热痢无表邪者。,,2021/5/19,2021/5/19 15:00,
大连翘饮,连翘5分，瞿麦5分，滑石5分，车前子5分，牛蒡子5分，赤芍5分，山栀5分，木通5分，当归5分，防风5分，黄芩5分，柴胡5分，甘草5分，荆芥5分，蝉蜕5分，石膏5分。,肺热，久咳嗽，涕唾多。,,2021/5/19,2021/5/19 15:00,
大连翘饮,连翘、防风、牛子、荆芥、当归、川芎、柴胡、栀子、蝉蜕、赤芍、木通、车前、滑石、甘草等分。,小儿丹毒发热。痰涎壅盛，一切诸疮痧疹。颈项生核；或伤风伤寒，时行发热等证。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄（锉碎，微炒）1两，朴消1两，当归（微炙）1两，芍药1两，芎1两1分，桂（去粗皮）2两半，厚朴（去粗皮，生姜汁炙烟出，如此7遍）1两1分。,痘后余毒，发热赤肿。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄（锉，炒）半两，当归半两，生干地黄（焙）半两，芎半两，葛根（锉）半两，甘草（炙，锉）半两，紫葳根（凌霄花根是也，焙）半两，麦门冬（去心，焙）半两，天门冬（去心，焙）半两，山栀子仁1两，地骨皮1两，黄连（去须）1两。,妇人月水来腹痛，脐下坚硬，积血不下。,,2021/5/19,2021/5/19 15:00,
大豆煎,大豆（紧小者）2升（洗净），生姜汁1合。,丹石热毒上攻，目生翳，心躁，面赤，头痛。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄半两，黄连半两，黄柏半两，栀子半两。,中风，失音不语。,,2021/5/19,2021/5/19 15:00,
大黄汤,大黄12分，柴胡12分，甘草（炙）12分，生姜12分，升麻7分，知母7分，黄芩7分，大青5分，石膏10分，芍药6分，枳实（炙）6分。,伤寒5-6日不解，头痛壮热，四肢烦疼，不得饮食。,除六经之热。,2021/5/19,2021/5/19 15:00,
千金内托散,玄参、人参、桔梗、青皮、陈皮、连翘、甘草、川芎、当归、赤芍、蒌仁、花粉、银花、川朴、防风。,小儿结实，壮热头痛，自下。,,2021/5/19,2021/5/19 15:00,
